TempoAlocacao,Tempo,Particionamento,Nucleos,Pontos
0.038545,0.377537,LinhaRoundRobin,2 sparks,263169
0.03833,0.424008,LinhaRoundRobin,2 sparks,263169
0.037794,0.378013,LinhaRoundRobin,2 sparks,263169
0.03734,0.42337,LinhaRoundRobin,2 sparks,263169
0.03231,0.359554,LinhaRoundRobin,2 sparks,263169
0.032379,0.358101,LinhaRoundRobin,2 sparks,263169
0.037892,0.37458,LinhaRoundRobin,2 sparks,263169
0.038437,0.375928,LinhaRoundRobin,2 sparks,263169
0.038646,0.375535,LinhaRoundRobin,2 sparks,263169
0.032759,0.35662,LinhaRoundRobin,2 sparks,263169
0.032319,0.369193,LinhaRoundRobin,2 sparks,263169
0.038844,0.378717,LinhaRoundRobin,2 sparks,263169
0.03854,0.375154,LinhaRoundRobin,2 sparks,263169
0.038155,0.37589,LinhaRoundRobin,2 sparks,263169
0.038463,0.375987,LinhaRoundRobin,2 sparks,263169
0.038359,0.432757,LinhaRoundRobin,2 sparks,263169
0.038336,0.375679,LinhaRoundRobin,2 sparks,263169
0.038067,0.37609,LinhaRoundRobin,2 sparks,263169
0.038279,0.376232,LinhaRoundRobin,2 sparks,263169
0.038312,0.37563,LinhaRoundRobin,2 sparks,263169
0.038323,0.420729,LinhaRoundRobin,2 sparks,263169
0.037878,0.377656,LinhaRoundRobin,2 sparks,263169
0.037787,0.376289,LinhaRoundRobin,2 sparks,263169
0.038223,0.373898,LinhaRoundRobin,2 sparks,263169
0.032123,0.362061,LinhaRoundRobin,2 sparks,263169
0.0324,0.36301,LinhaRoundRobin,2 sparks,263169
0.03875,0.378972,LinhaRoundRobin,2 sparks,263169
0.038294,0.377113,LinhaRoundRobin,2 sparks,263169
0.038125,0.377615,LinhaRoundRobin,2 sparks,263169
0.03822,0.378263,LinhaRoundRobin,2 sparks,263169
0.080702,0.215836,LinhaRoundRobin,4 sparks,263169
0.064962,0.230569,LinhaRoundRobin,4 sparks,263169
0.057833,0.219128,LinhaRoundRobin,4 sparks,263169
0.080168,0.223981,LinhaRoundRobin,4 sparks,263169
0.07616,0.195675,LinhaRoundRobin,4 sparks,263169
0.050874,0.201768,LinhaRoundRobin,4 sparks,263169
0.073174,0.220313,LinhaRoundRobin,4 sparks,263169
0.040569,0.195679,LinhaRoundRobin,4 sparks,263169
0.02008,0.278433,LinhaRoundRobin,4 sparks,263169
0.07224,0.195438,LinhaRoundRobin,4 sparks,263169
